Date,Price
01/29/2018,"162,535"
01/30/2018,"162,535"
01/31/2018,"162,535"
02/01/2018,"83,000"
02/02/2018,"83,000"
02/03/2018,"83,000"
02/04/2018,"83,000"
02/05/2018,"83,000"
02/06/2018,"83,000"
02/07/2018,"83,000"
02/08/2018,"83,000"
02/09/2018,"83,000"
02/10/2018,"83,000"
02/11/2018,"83,000"
02/12/2018,"83,000"
02/13/2018,"83,000"
02/14/2018,"83,000"
02/15/2018,"83,000"
02/16/2018,"83,000"
02/17/2018,"83,000"
02/18/2018,"83,000"
02/19/2018,"83,000"
02/20/2018,"83,000"
02/21/2018,"83,000"
02/22/2018,"83,000"
02/23/2018,"83,000"
02/24/2018,"83,000"
02/25/2018,"83,000"
02/26/2018,"83,000"
02/27/2018,"83,000"
02/28/2018,"83,000"
03/01/2018,"311,672"
03/02/2018,"311,672"
03/03/2018,"311,672"
03/04/2018,"311,672"
03/05/2018,"311,672"
03/06/2018,"311,672"
03/07/2018,"311,672"
03/08/2018,"311,672"
03/09/2018,"311,672"
03/10/2018,"311,672"
03/11/2018,"311,672"
03/12/2018,"311,672"
03/13/2018,"311,672"
03/14/2018,"311,672"
03/15/2018,"311,672"
03/16/2018,"311,672"
03/17/2018,"311,672"
03/18/2018,"311,672"
03/19/2018,"311,672"
03/20/2018,"311,672"
03/21/2018,"311,672"
03/22/2018,"311,672"
03/23/2018,"311,672"
03/24/2018,"311,672"
03/25/2018,"311,672"
03/26/2018,"311,672"
03/27/2018,"311,672"
03/28/2018,"311,672"
03/29/2018,"311,672"
03/30/2018,"311,672"
03/31/2018,"311,672"
04/01/2018,"83,630"
04/02/2018,"83,630"
04/03/2018,"83,630"
04/04/2018,"83,630"
04/05/2018,"83,630"
04/06/2018,"83,630"
04/07/2018,"83,630"
04/08/2018,"83,630"
04/09/2018,"83,630"
04/10/2018,"83,630"
04/11/2018,"83,630"
04/12/2018,"83,630"
04/13/2018,"83,630"
04/14/2018,"83,630"
04/15/2018,"83,630"
04/16/2018,"83,630"
04/17/2018,"83,630"
04/18/2018,"83,630"
04/19/2018,"83,630"
04/20/2018,"83,630"
04/21/2018,"83,630"
04/22/2018,"83,630"
04/23/2018,"83,630"
04/24/2018,"83,630"
04/25/2018,"83,630"
04/26/2018,"83,630"
04/27/2018,"83,630"
04/28/2018,"83,630"
04/29/2018,"83,630"
04/30/2018,"83,630"
05/01/2018,"167,470"
05/02/2018,"167,470"
05/03/2018,"167,470"
05/04/2018,"167,470"
05/05/2018,"167,470"
05/06/2018,"167,470"
05/07/2018,"167,470"
05/08/2018,"167,470"
05/09/2018,"167,470"
05/10/2018,"167,470"
05/11/2018,"167,470"
05/12/2018,"167,470"
05/13/2018,"167,470"
05/14/2018,"167,470"
05/15/2018,"167,470"
05/16/2018,"167,470"
05/17/2018,"167,470"
05/18/2018,"167,470"
05/19/2018,"167,470"
05/20/2018,"167,470"
05/21/2018,"167,470"
05/22/2018,"167,470"
05/23/2018,"167,470"
05/24/2018,"167,470"
05/25/2018,"167,470"
05/26/2018,"167,470"
05/27/2018,"167,470"
05/28/2018,"167,470"
05/29/2018,"167,470"
05/30/2018,"167,470"
05/31/2018,"167,470"
06/01/2018,"190,780"
06/02/2018,"190,780"
06/03/2018,"190,780"
06/04/2018,"190,780"
06/05/2018,"190,780"
06/06/2018,"190,780"
06/07/2018,"190,780"
06/08/2018,"190,780"
06/09/2018,"190,780"
06/10/2018,"190,780"
06/11/2018,"190,780"
06/12/2018,"190,780"
06/13/2018,"190,780"
06/14/2018,"190,780"
06/15/2018,"190,780"
06/16/2018,"190,780"
06/17/2018,"190,780"
06/18/2018,"190,780"
06/19/2018,"190,780"
06/20/2018,"190,780"
06/21/2018,"190,780"
06/22/2018,"190,780"
06/23/2018,"190,780"
06/24/2018,"190,780"
06/25/2018,"190,780"
06/26/2018,"190,780"
06/27/2018,"190,780"
06/28/2018,"190,780"
06/29/2018,"190,780"
06/30/2018,"190,780"
07/01/2018,"254,760"
07/02/2018,"254,760"
07/03/2018,"254,760"
07/04/2018,"254,760"
07/05/2018,"254,760"
07/06/2018,"254,760"
07/07/2018,"254,760"
07/08/2018,"254,760"
07/09/2018,"254,760"
07/10/2018,"254,760"
07/11/2018,"254,760"
07/12/2018,"254,760"
07/13/2018,"254,760"
07/14/2018,"254,760"
07/15/2018,"254,760"
07/16/2018,"254,760"
07/17/2018,"254,760"
07/18/2018,"254,760"
07/19/2018,"254,760"
07/20/2018,"254,760"
07/21/2018,"254,760"
07/22/2018,"254,760"
07/23/2018,"254,760"
