Date,Sales
01/01/2017,750
01/02/2017,750
01/03/2017,750
01/04/2017,750
01/05/2017,750
01/06/2017,750
01/07/2017,750
01/08/2017,750
01/09/2017,750
01/10/2017,750
01/11/2017,750
01/12/2017,750
01/13/2017,750
01/14/2017,750
01/15/2017,750
01/16/2017,750
01/17/2017,750
01/18/2017,750
01/19/2017,750
01/20/2017,750
01/21/2017,750
01/22/2017,750
01/23/2017,750
01/24/2017,750
01/25/2017,750
01/26/2017,750
01/27/2017,750
01/28/2017,750
01/29/2017,750
01/30/2017,750
01/31/2017,750
02/01/2017,620
02/02/2017,620
02/03/2017,620
02/04/2017,620
02/05/2017,620
02/06/2017,620
02/07/2017,620
02/08/2017,620
02/09/2017,620
02/10/2017,620
02/11/2017,620
02/12/2017,620
02/13/2017,620
02/14/2017,620
02/15/2017,620
02/16/2017,620
02/17/2017,620
02/18/2017,620
02/19/2017,620
02/20/2017,620
02/21/2017,620
02/22/2017,620
02/23/2017,620
02/24/2017,620
02/25/2017,620
02/26/2017,620
02/27/2017,620
02/28/2017,620
03/01/2017,1020
03/02/2017,1020
03/03/2017,1020
03/04/2017,1020
03/05/2017,1020
03/06/2017,1020
03/07/2017,1020
03/08/2017,1020
03/09/2017,1020
03/10/2017,1020
03/11/2017,1020
03/12/2017,1020
03/13/2017,1020
03/14/2017,1020
03/15/2017,1020
03/16/2017,1020
03/17/2017,1020
03/18/2017,1020
03/19/2017,1020
03/20/2017,1020
03/21/2017,1020
03/22/2017,1020
03/23/2017,1020
03/24/2017,1020
03/25/2017,1020
03/26/2017,1020
03/27/2017,1020
03/28/2017,1020
03/29/2017,1020
03/30/2017,1020
03/31/2017,1020
04/01/2017,1260
04/02/2017,1260
04/03/2017,1260
04/04/2017,1260
04/05/2017,1260
04/06/2017,1260
04/07/2017,1260
04/08/2017,1260
04/09/2017,1260
04/10/2017,1260
04/11/2017,1260
04/12/2017,1260
04/13/2017,1260
04/14/2017,1260
04/15/2017,1260
04/16/2017,1260
04/17/2017,1260
04/18/2017,1260
04/19/2017,1260
04/20/2017,1260
04/21/2017,1260
04/22/2017,1260
04/23/2017,1260
04/24/2017,1260
04/25/2017,1260
04/26/2017,1260
04/27/2017,1260
04/28/2017,1260
04/29/2017,1260
04/30/2017,1260
05/01/2017,960
05/02/2017,960
05/03/2017,960
05/04/2017,960
05/05/2017,960
05/06/2017,960
05/07/2017,960
05/08/2017,960
05/09/2017,960
05/10/2017,960
05/11/2017,960
05/12/2017,960
05/13/2017,960
05/14/2017,960
05/15/2017,960
05/16/2017,960
05/17/2017,960
05/18/2017,960
05/19/2017,960
05/20/2017,960
05/21/2017,960
05/22/2017,960
05/23/2017,960
05/24/2017,960
05/25/2017,960
05/26/2017,960
05/27/2017,960
05/28/2017,960
05/29/2017,960
05/30/2017,960
05/31/2017,960
06/01/2017,815
06/02/2017,815
06/03/2017,815
06/04/2017,815
06/05/2017,815
06/06/2017,815
06/07/2017,815
06/08/2017,815
06/09/2017,815
06/10/2017,815
06/11/2017,815
06/12/2017,815
06/13/2017,815
06/14/2017,815
06/15/2017,815
06/16/2017,815
06/17/2017,815
06/18/2017,815
06/19/2017,815
06/20/2017,815
06/21/2017,815
06/22/2017,815
06/23/2017,815
06/24/2017,815
06/25/2017,815
06/26/2017,815
06/27/2017,815
06/28/2017,815
06/29/2017,815
06/30/2017,815
07/01/2017,770
07/02/2017,770
07/03/2017,770
07/04/2017,770
07/05/2017,770
07/06/2017,770
07/07/2017,770
07/08/2017,770
07/09/2017,770
07/10/2017,770
07/11/2017,770
07/12/2017,770
07/13/2017,770
07/14/2017,770
07/15/2017,770
07/16/2017,770
07/17/2017,770
07/18/2017,770
07/19/2017,770
07/20/2017,770
07/21/2017,770
07/22/2017,770
07/23/2017,770
07/24/2017,770
07/25/2017,770
07/26/2017,770
07/27/2017,770
07/28/2017,770
07/29/2017,770
07/30/2017,770
07/31/2017,770
08/01/2017,740
08/02/2017,740
08/03/2017,740
08/04/2017,740
08/05/2017,740
08/06/2017,740
08/07/2017,740
08/08/2017,740
08/09/2017,740
08/10/2017,740
08/11/2017,740
08/12/2017,740
08/13/2017,740
08/14/2017,740
08/15/2017,740
08/16/2017,740
08/17/2017,740
08/18/2017,740
08/19/2017,740
08/20/2017,740
08/21/2017,740
08/22/2017,740
08/23/2017,740
08/24/2017,740
08/25/2017,740
08/26/2017,740
08/27/2017,740
08/28/2017,740
08/29/2017,740
08/30/2017,740
08/31/2017,740
09/01/2017,790
09/02/2017,790
09/03/2017,790
09/04/2017,790
09/05/2017,790
09/06/2017,790
09/07/2017,790
09/08/2017,790
09/09/2017,790
09/10/2017,790
09/11/2017,790
09/12/2017,790
09/13/2017,790
09/14/2017,790
09/15/2017,790
09/16/2017,790
09/17/2017,790
09/18/2017,790
09/19/2017,790
09/20/2017,790
09/21/2017,790
09/22/2017,790
09/23/2017,790
09/24/2017,790
09/25/2017,790
09/26/2017,790
09/27/2017,790
09/28/2017,790
09/29/2017,790
09/30/2017,790
10/01/2017,805
10/02/2017,805
10/03/2017,805
10/04/2017,805
10/05/2017,805
10/06/2017,805
10/07/2017,805
10/08/2017,805
10/09/2017,805
10/10/2017,805
10/11/2017,805
10/12/2017,805
10/13/2017,805
10/14/2017,805
10/15/2017,805
10/16/2017,805
10/17/2017,805
10/18/2017,805
10/19/2017,805
10/20/2017,805
10/21/2017,805
10/22/2017,805
10/23/2017,805
10/24/2017,805
10/25/2017,805
10/26/2017,805
10/27/2017,805
10/28/2017,805
10/29/2017,805
10/30/2017,805
10/31/2017,805
11/01/2017,820
11/02/2017,820
11/03/2017,820
11/04/2017,820
11/05/2017,820
11/06/2017,820
11/07/2017,820
11/08/2017,820
11/09/2017,820
11/10/2017,820
11/11/2017,820
11/12/2017,820
11/13/2017,820
11/14/2017,820
11/15/2017,820
11/16/2017,820
11/17/2017,820
11/18/2017,820
11/19/2017,820
11/20/2017,820
11/21/2017,820
11/22/2017,820
11/23/2017,820
11/24/2017,820
11/25/2017,820
11/26/2017,820
11/27/2017,820
11/28/2017,820
11/29/2017,820
11/30/2017,820
12/01/2017,910
12/02/2017,910
12/03/2017,910
12/04/2017,910
12/05/2017,910
12/06/2017,910
12/07/2017,910
12/08/2017,910
12/09/2017,910
12/10/2017,910
12/11/2017,910
12/12/2017,910
12/13/2017,910
12/14/2017,910
12/15/2017,910
12/16/2017,910
12/17/2017,910
12/18/2017,910
12/19/2017,910
12/20/2017,910
12/21/2017,910
12/22/2017,910
12/23/2017,910
12/24/2017,910
12/25/2017,910
12/26/2017,910
12/27/2017,910
12/28/2017,910
12/29/2017,910
12/30/2017,910
12/31/2017,910
01/01/2018,1020
01/02/2018,1020
01/03/2018,1020
01/04/2018,1020
01/05/2018,1020
01/06/2018,1020
01/07/2018,1020
01/08/2018,1020
01/09/2018,1020
